gloss_pt,gloss_en,mbj_rc_m05,mbj_rc_eppsob,mbj_rn_m05,daw_m05,daw_eppsob,daw_orth_epps,hup_m05,hup_ramepps,yhp_m05,yhp_silva
Brigar,fight,ʔo:bm,eoom,--,ʔũ̂:m,ʔũ̂m [bater],ũùm [bater],ʔũhmɛ̃h,ũhméh,ʔũm,ũh ũm
Brilhar,shine; be bright,bag,,bag,bɛʔ; bɛ̂:g,bæ̂g,beèg,ɓa̰gŋ,bʼag,ɓa̰ʔ,bee ʼ
Buscar agua,fetch water,k ʼ ɔp; k ʼ ɔb,,k ʼ ɔp; k ʼ ɔb,k ʼ ɔp,kɔp,kop,k ʼ ɔ̰p,kʼóp,k ʼ ɔ̰p,ka ʼ;koop
Cair,fall,--,,--,nɔ̃x,nɔ̃x,nõx,nɔ̃h,nóh,nɔ̃h,noh hi
Cantar,sing,jʌ:bm; jʌbm,ejäm,jʌ:bm,jãm,jãmhɨ̃h,yãmrʉ̃r,jãm,yam,jãm,yãm
Capinar,cut weeds,ʃok;  ʃog,asok (arrancar),ʃog,--,ʃæ̃ʃ,sẽs,--,sẽ́ç,cɤk,säk
Carregar,carry (on back?),ʃɤ:t; ʃɤ̰:d,asëët,ʃɤ:d,ʃě:t,ʃět,sêét,cě:t,së́t,cet,sët
Chamar,call,ʔɤ:ɟɲ; ʔɤ:j,naëënh,ʔɤ:j,ʔɤj,ʔəj,ây,ʔej,ëy,ʔej,ëy
Chegar; encontrar,meet; encounter,wɯt,,wɯt,wɯd,wɨ̂d,wʉʉ̀d,wɯdn,wɨd,wɯt,wɨt
Cheirar,fill up,hɯ̃:k̚; hʌ̃g,matsehỹỹk,hã:kŋ,ʔɯ̃̌:k ̚,ʔɨ̃̌k,ʉ̃ʉ́k,--,NF,--,NF
Chorar,cry,ʔo:t; ʔɔd,aoot,ʔɔd; ʔo:t,ʔɔ̃̌:t,ʔɔ̃̌t,õót,ʔɔt,ót,ʔɔt,ot;õt
Chutar,kick,da:ʃ; daɟ,,da:ʃ; daɟ,dɛɟ,dæɟ,dej,tac,tás,tac,tas
Coçar 1,itch,c ʼ u:k; c ʼ ug,atsuuk,c ʼ u:g,c ʼ ǔ:k,cǔk,çuúk,c ʼ uk,kö kö́j,c ʼ uk,suuk
Coçar 2,itch,ʃɯ̰:t; ʃɯ:d,,-- ,ʃĩnʔ,ʃîd,siìd,w̰obm,?,wobm,?
Colocar,put onto,--,,--,w̰ob,w’ôb (trans),w’ôòb (trans),w̰obm,wʼöb,wobm,wöm
Comer 1,eat,wɤ:h,awëh,wɯ:h,--,,,--,,--,
Comer 2,eat,--,,--,wɛ̂:d,wæ̂d,weèd,wɛ̌:dn,,wɛdn,wen
Correr,run,--,,--,ʔɔx,ʔɔx,ox,to ʼ ʔoh,,t ʼ ô̰:h,
Cortar 1,cut (hack),--,,--,tě:ʃ,tæʃ [hack],teés [hack],--,,tɤjʰ,
Cortar 2,cut (saw),k ʼ ahɔ̃k; k ʼ ahɔ̃g; ʔahɔ̃k;k ʼ akɯd,gehõk,hɔ̃:kŋ; hɔ̃g,hɔ̃̌:k,hɔ̃k [saw],rõk [saw],hɔ̃̌:k,hṍk,hɔ̃k,hõk
Costurar,sew,ʃu:h; ʃugŋ,,ʃu:h; ʃugŋ,--,tɨ̃̌m’,tʉ̃ʉ́m’,cuh,suh,cuh,suh
Cozinhar,cook,--,,--,--,xâ,xaà,c ʼ ɯ̂:w,taʼasáw,c ʼ ɯw,sõhóm
Crescer 1,grow,--,,--,--,peg ʃǎk,pêg saák,cap,sap,cap,sap
Cuidar,take care of,--,,--,--,hũjwəj’,rũywây’,hikej,,kej,këy
Cuspir,spit,c ʼ o: ʃ; c ʼ ɔ ʃ,,c ʼ ɔ: ʃ,c ʼ ɔ̌: ʃ,cɔ̌ʃ,çoós,c ʼ ɔ̌: ç,,c ʼ ɔ̌:jʰ,
Cutucar,poke,tatuk; tatug,,tug,--,,,--,,--,
Dabucuri; dancar,dabucuri; dance,jɤbm; jʌbm,jëm,jʌbm,jabm,jam,yam [dançar]; têg [dabucuri],jãm,yám,jãb,
Dar,give,nɔ̃:ʔ; nɔ̰̃:ʔ,,--,nɔ̃̌:ʔ,nɔ̃̌ʔ,nõó’,nɔ̃ʔ,noʼ,nɔ̃ʔ,no’
Defecar,defecate,ja:ʔ,jʼaa,--,jɛ̌:ʔ,jæ̌ʔ,yeé’,ɲdʲɛʔ,yeʼ,jɛʔ,ye’
Deitar 2,lie (on ground),jat; jad,ajat,--,jet,jæt [no chão],yet [no chão],jɛt,yet,jɛt,yet
Derramar,spill,bɯ:h; bɯh,,bɯ:h; bɯh,bɤh; bɤ̂:,bə̂; bəh,bâà; bâr,ɓɤ̰h,bʼäh,ɓɤ̰h,bääh
Derreter,melt,dɛ̃ʔ; dɛ̃:ʔ,,--,n̰ʔɛ̃̂:,n’æ̃̂,n’ẽè,--,,--,
