gloss_pt,gloss_en,mbj_rc_m05,mbj_rc_eppsob,mbj_rn_m05,daw_m05,daw_eppsob,daw_orth_epps,hup_m05,hup_ramepps,yhp_m05,yhp_silva
Azedo 1,sour,mãc ʼ igŋ; mãc ʼ i:h,,mãc ʼ igŋ,c ʼ î:,ʃɨ̂w,sʉʉ̀w,--,,--,
Azedo 2,sour,--,,--,--,cî [food going bad],çiì [food going bad],k ʼ ĩ̂:,,k ʼ ḭ̌j,kii
Bom,good,nɯ̃:w̃,,nã:w̃,--,jæ̃̂w,yẽèw,nã̌:w̃,náw,nã̌:w̃,naw
Bravo,fierce,--,,--,tɤ̂:w,təw,tâw,tɤ̂:w,tä́w,tɤ̂:w,täw
Catinga; fedor,stink,--,,--,mudn,mun,mun,mbudn,,--,
Comprido 2,long,ɾɔbm; ɾɔw,,--,jɔw; jɔbm,jɔm [long torso – animate],yom [long torso – animate],--,,--,
Cozido,cooked,tɤ:d,,tɤ:d,--,xǎh,xaár,--,,--,
Doce,sweet,k ʼ ɤ:h; k ʼ ɤ̰:h,egÿÿh,k ʼ ɤ̰:h,k ʼ ɤh,kəh,kâr,k ʼ ɤ̰h,kʼä́h,k ʼ ɤ̰h,kääh
Duro,hard,ʔabagŋ; ʔiba:h,,ʔabagŋ; ʔabah,bɛʔ,bæʔ,be’,taɓa̰ʔ,tabʼàʼ,taɓa̰ʔ,tabaa’
Enrolado (fios),rolled up,--,,--,new̰ʔ,n’æ̃w’,‘nẽw’,ndew,dë́w,--,
Fino,thin,ʃa̰:p; ʃa:b,sawasaab,--,ʃɤ̌:p,ʃə̌p [for material; e.g. wood; cloth; etc.],sâáp [for material; e.g. wood; cloth; etc.],cɤ̌:p,säsä̀w,cɤ̂:p,
Forte,strong,jo:ɟɲ; jo:j,,jo:j,--,wɨm,wʉm,--,,--,
Fraco 1,weak,--,,--,wɛ̌:j,wæ̌j,weéy,wɛ̌:j,,wɛ̌:j,wey
Fraco 2,weak,--,,--,wɛj,,,wɛj,,wɛj,wey
Frio 1,cold,--,,--,--,baʔ [things; people; water],ba’ [things; people; water],tut,,tǔ:t,tut
Frio 2,cold,hɤ:bm; hɤ:w,hahëëm,hɤ:bm,--,,,--,,--,
Grande,big,pogŋ,,bog,nɤxpog,peg; pôg,pêg; pôòg,pogŋ,pö́h,pogŋ,pö́g
Grosso,thick,--,,--,--,peʃ,pês,kɤʔ,kʼãʼ,kɤʔ,kä’
Mole,soft,--,,--,jû:d,jûd,yuùd,--,,jû:dn,
Pequeno,small,--,,--,piʃ,piʃ,pis,--,, -is,
Quente 1,hot,--,,--,k ʼ ɯ̰̂:,kɨ̌ʔ [agua],kʉʉ́’[agua],k ʼ ɯ̰̂,,--,
Quente 2,hot,juʔ,baju,juʔ,juʔ,hæ̃d jǔʔ [comida; peesoa; febre]; jǔʔ [ano],rẽd yuú’ [comida; peesoa; febre]; yuú’ [ano],--,,--,
Redondo,round,k ʼ aɾaɾebm; k ʼ aɾaɾew,,k ʼ anãɾebm,lebm; nebm,lem; nem,lêm; nêm,ndeɾebm,dërë́b,debm,
Reto,straight,--,,--,jɔ̂:w,jɔw,yow,jɔ̂:w,yú,jɔ̂:w,
Seco,dry,--,,--,--,xɔp,xop,hɤ̂:bm,,hɤ̂:bm,häm
Seco (arvore),dry (tree),to:h; tɔgŋ,bʼaa tooh,to:h,tɔ̂:,tɔ̌h,toór,tɔ,tó,tɔ̂:,to
Verdadeiro,TRUE,--,,--,xup,xǔp,xuúp,--,,hub,
Vivo,alive,--,,--,ʔɯb,jɨm [vivo]; ʔɨb [acordar],yʉm [vivo]; ʉb [acordar],ʔɯb,ɨbʼ,--,
Dois,two,--,,tɯbmwɔp,tɯ̌:bm,tɨ̌m [cf. tɨm ‘eye’],tʉʉ́m [cf. tʉm ‘eye’],--,,--,
Feixe 1,bundle,--,,--,k ʼ ok,kǔk,kuúk,k ʼ uk,,--,
Feixe 2 (de fios),bundle (of strings),--,,--,mɔ̂:g,mɔ̂g,moòg,bɔ̂:gŋ,,--,
Metade,half,--,,--,tǔ:t,tǔt,tuút,--,,mĩhtû:t,mih tut
Par; companheiro,pair; companion; twin ; gemeo,mãb,,--,mã:bmʔ,mǎm’,maám’,mbǎ:bmʔ,bábʼ,--,
Pedaco,piece,bʌh,,--,bǎ:x,bǎx,baáx,ɓa̰h,bʼah,--,
Plural 1,plural,poʔwɔp; tamãʔwob,,tɯbmwɔp; poʔwɔb,--,,,--,,--,
Plural 2,plural,--,,--,hawap; mutwap,hawap [quantos?],rawap [quantos?],aʔap; haʔap,--,--,
Jabuti 1,tortoise (yellow-footed) (Geochelone denticulata),--,,--,mĩ̌:ʃ,mĩ̌ʃ,mĩís,mĩ̌:h,mìh,mĩ̂:jh,míh
Jabuti 2,tortoise (yellow-footed) (Geochelone denticulata),mãtug,matug,mãtug,--,,,--,,--,
Calango (sp.),small lizard,--,,--,--,buɟ,buj,ʔɔw,ów,ʔɔw,ow
Jacare (generico),caiman,--,,--,xɛ̌:t,xæ̌t,xeét,hǎ:t,hàt,hâ:t,hát
Jararaca 1,pit viper (Bothrops sp.),bʌ:w,,bʌ:w,bâ:w,bâw,baàw,ɓâ̰:w,,ɓǎ̰:w,baaw
Jararaca 2,pit viper (Bothrops sp.),k ʼ atɯ̃:j̃,gatỹỹj,--,tɤghĩ̂:,təghĩ̂,tâgrĩ ì,tɯ̃hɯ̃̂:j̃,tɨ̃hɨ̃́y,tɯ̃hɯ̃̌:j̃,tɨ̃hɨy
Lagarto (sp.),lizard,c ʼ abu:ɟ,,c ʼ abu:ɟ,--,,,--,,--,
Surucucu,South American bushmaster (snake) (Lachesis muta),ha:k,,ha:kŋ,xɛ̂:g,xæ̂g,xeèg,hɛ̌:gŋ,hèg,hɛ̂:gŋ,hég
Tamacuaré (sp.),diving lizard (Uranoscodon superciliosus),--,,--,ʃɤʔwɤbm,?,?,cɤw̰ʔɤbm,wʼä̀t,w̰ʔɤ̌:bm,wääm
Agora,now,--,,--,tê:dn,tên,têèn,tɛ̌̃:n,ten,--,
Ainda,still,--,,--,tɛ̂:,těh,têér,tɛ̂:,té,--,
Dia 1,day,hewag,,muwagŋ,--,wə̌t,wâát,wagŋ,,wagŋ,
Dia 2,day,ʔadɤb,adëb,ʔadɯb,--,,,--,,--,
Ontem,yesterday,c ʼ ɛbm,,c ʼ ɛbm,c ʼ ɛ̌:bm,cæ̌m,çeém,c ʼ ã̰̂:m,sím’,c ʼ ã̰̌:m,sãam
Tarde,late,tũ:h,tug,tũh,duʔ,duʔ,du’,ɗṵʔʔ,dʼúʼ,--,
Anzol,fishhook,koɾã:j,,koɾã:j,lǎ:jʔ,lǎj’,laáy’,--,,ndâ:jʔ,dáy’
Arco 1,bow,kaɾabaʔ,karaba,kaɾabaʔ,--,,,--,,--,
Arco 2,bow,--,,--,k ʼ ḭ̃ɲ,cɔk [kĩɲ ‘flecha’],çok [kĩnh ‘flecha’],k ʼ ḭgbah,,k ʼ ḭgŋwah,
Bagagem,baggage,--,,--,kaʃpãj̃,kaʃpaj,kaspay,paj,páy,--,
Canoa,canoe,ho̰:h,hʼooh,hɔ̰:h,xɔ̂:,xɔ̂,xoò,hɔ̌:h,hóp,hɔ̂:h,hóh
Casa 1; buraco,house; hole,mɯ̃:j̃,,mɯ̃:j̃,mã̂:j̃,mã̂j,mãày,mǒ̃:j̃,,mõ̂:j̃,
Casa 2,house,tɔb,tób,tɔb,tɔp,tɔp,top,tɔp,,--,
Cesto 1,basket (disposable),--,,--,ʃeʔmãc,mãc [disposable; made of leaves],mãç [disposable; made of leaves],mãɲ; cɛʔ,,cɛʔ; mã̌:ɲ,
Cesto 2,basket; aturá,--,,bɯ:j,bɤj,bəj [atura],bây [atura],--,,--,
Colar,necklace; bead,mãjo:ɾɵ,majoor,mãjo:ɾɵ,--,kædhæ̃̂ [also ‘miçanga’],kedrẽè [also ‘miçanga’],--,,--,
Coisa,things,--,,--,hɛ̃̌:h,?,?,hɛ̃̌:h,héw,hɛ̃̌:h,hẽ́h
Cuia 1,gourd dipper,--,,--,bɔʔ,bɔʔ,bo’,ɓɔ̰̌:ʔ,,ɓɔ̰ʔ,boó’
Cuia 2,gourd dipper,ʔɤk,ëk,ʔɤk,--,,,--,,--,
Escopeta,shotgun,tɤg,tëg,tɯg,--,xâw’,xaàw’,tegŋ,të̀g,tegŋ,tëg
Espelho 1,mirror,--,,--,wɤ̂:k,hũjwə̌k,rũywâák,mɔ̃jwɤ̂k,,jɤ̂:k,
Espelho 2,mirror,japow,,jehpow,--,,,--,,--,
Facão,machete,--,,--,wã̂:n,wã̂n,wãàn,wã̌:n,wàn,wã̌:n,
Flauta,flute,--,,--,--,?,?,pĩ̌:h,nɨ́h,pĩ̌:h,pĩ́h
Gancho,hook,kɤ:ʔ,,k ʼ a̰:h,k ʼ ɛ̌:ʔ,kɔ̂,koò,--,,--,
Jirau,shelf; smoking grid,--,,--,wab,julâ [shelf]; wab [smoking grid],yulaà [shelf]; wab [smoking grid],wabm,wäg,wǎ:bm,wam
Machado,axe,mɯ̃:m,mỹỹm,mɯ̃:m,mã̂:m,mã̂m,mãàm,mɔ̃̂:m,mòm,mɔ̃̂:m,móm
Panela 1,pot,--,,--,bɔk,bɔk,bok,ɓɔ̰k,,ɓɔ̰k,book
Panela 2,pot,ʃaɾe:j,sareej,ʃeɾe:j,--,,,--,,--,
Peconha,circle,põ̰:d,,po̰:d,pɔ̌:t,pɔ̌t,poót,pɔ̌:t,pòt,pɔ̂:t,pót
Pente,comb,pɤʃ,,--,pɤ̌:ʃ,pə̌ʃ,pâás,pɤ̌:ç,pä̀ç,pɤ̌:jh,
Porta,door,tɔbnɔ̃:h,,nɔ̃:h,tɔpjɔ̃h,jɔ̃h,yõr,mɔ̃jɔ̃̌:h,mú,--,
Ralo,grater,--,,hãb,hɯ̌̃:p,hɨ̃̌p,rʉ̃ʉ́p,hɯ̌̃:p,hɨ̃p,hɯ̌̃:p,hɨ̃́p
Rede,hammock,jag,jag,jag,jɛg,jæg,yeg,dʲagŋ,yàg,jagŋ,yag
Roupa,clothes,--,,--,jû:dn,jûn,yuùn,jǔ:dn,yùh,jû:dn,yún
Tesoura,scissors,--,,--,hɛ̂:j̰ʔ,hæ̌j’,reéy’,hɛ̌hɛ̌:j̰ʔ,,hɛ̂:j̰ʔ,hey’
Zarabatana 1,blowgun,--,,--,bǎ:k,bǎk,baák,caɓǎ̰:k,,ɓǎ̰:k,baák
Zarabatana 2,blowgun,ʃo̰:w,sʼoow,ʃo̰:w,--,,,--,,--,
Arvore (generico),tree (generic),bʌ̰:h,bʹaah,ba̰:h,bɛ̂:,bæ̂,beè,--,,--,
Algodão 1 (sp.),cotton (kapok),kawad,kawad puuw,kawad,--,,,--,,--,
Algodao 2 (sp.),cotton (kapok),ʃawɯk,sawyk,ʃɯwɯkŋ,wuk,wuk,wuk,cuwǔ:k,,wû:k,wúk
Cipó (generico),cipó vine,ju:bm,juum,--,jubm,jum,yum,jubm,yúb,jǔ:bm,yum
Cipó-de-imbe,cipó sp. (Philodendron imbé),--,,--,ʔwɤk,w’ə̌k,‘wâák,wě:k,,wê:k,wë́k
Cipó (sp.),cipó sp.,ʃaɾo:p,saroop,ʃoɾo:p,--,,,--,weró,--,
Coca,coca (Erythroxylum coca),batoʔ,bato,--,tuʔ,tuʔ,tu’,--,,--,
Embauba 1,embauba (tree) (Cecropia sp.),c ʼ akod,,c ʼ akod,--,,,--,,--,
Embauba 2,embauba (tree) (Cecropia sp.),bo:h,,--,bô:,bô,bôò,ɓɔ̂:̰h,bʼö̀h,ɓɔ̂:̰h,
Embira 1,embira (tree w/ cloth-like bark) (familia das anonaceas),ʃɯ̰:b,sʼyyb,ʃɯ̰:b,ʃɯ̰:p,ʃɨ̌p,sʉʉ́p,--,,ʃɯ̰:p,sɨɨp
Embira 2,embira (tree w/ cloth-like bark) (familia das anonaceas),--,,--,--,,,cɛ̂:,sé,cɛ̌:h,see
Escorrega-macaco,purpleheart (tree) (Peltogyne paniculata),pɤ:w,,pɤ:w,bɤ̂:w,bə̂w,bâàw,ɓɤ̰̂:w,,ɓɤ̰̂:w,b’ä̀w
Sorva,cow tree (Couma sp.),wabɤ:h,,--,bɤ̌:h,bə̌h,bâár,ɓɤ̌:h,,ɓɤ̌:h,
Tabaco,tobacco (Nicotiana tabacum),hũ:t,hũũt,hũ:t,hũ̌:t,hũ̌t,rũút,hũ̌:t,hũ̀t,hũ̌:t,hũt
Timbo (generico),fish poison plant/vine (plantas ictiotoxicas),dṵ:j,dʼuuj,dṵ:j,dǔ:ʃ,dǔʃ,duús,ɗṵ:ç,dʼùç,ɗṵ̂:jʰ,
Tururi,tururi (tree with useful fibers) (Sterculia sp.),--,,--,bob,bob,bôb,bʔobm,,--,
Casca,bark,bɔg,tabóg,bɔg,bɔk,bɨk,bʉk,ɓɔ̰k,,ɓɔ̰k,book
Cerne 1,tree trunk?,c ʼ ɯ̰:d,,c ʼ ɯ̰:d,c ʼ ǎ:t,cǎt [arvore duro],çaát [arvore duro],--,,--,
Cerne 2,tree trunk?,--,,--,--,,,sɤʃɤ̌:w,,cɤcɤ̂:w,säsä́w
Espinho,spine; thorn,--,,--,ʔut,ʔǔt,uút,ʔut,ùt,ʔud,
Flor,flower,c ʼ o̰:h,tsʹooh,c ʼ o̰:h,c ʼ ô̰:,cɔ̂,çoò,c ʼ ô̰:,,c ʼ ô̰:h,
Folha,leaf,k ʼ a̰:d,gʹaad,k ʼ a̰:d,k ʼ ɛ̰̌:t,kæ̌t,keét,k ʼ ɛ̰̌:t,kʼèt,k ʼ ɛ̰̂:t,keet
Raiz 1,root,--,,--,tǐ:ʃ,tǐʃ [roots in/on ground],tiís [roots in/on ground],tǐ:h,tìh,tî:jʰ,
Raiz 2,root,kɔbm,kóm,kɔbm,xɔbm,xɔm [roots extending from trunk to ground],xom [roots extending from trunk to ground],--,,--,
Semente 1,seed,tɯbm,tatym,tɯbm,tɯbm,tɨm,tʉm,--,,--,
Semente 2,seed,--,,--,--,,,wɤgŋ,,wɤ̂:g,wäg
Fruta (generico),fruit,ʔag,ag,ʔag,ʔɛg,ʔæg,eg,ʔagŋ,ág,ʔagŋ,
abacaxi,pineapple (Ananas sativus),--,,--,jɔ̂:j,?,?,jɔ̌:j,yòy,jɔ̂:j,yóy
Abacaxi,pineapple (Ananas comosus),mãwã:d,mawããd,mãwã:d,wã̌:n,wã̌n,wãán,--,,--,
Banana 1,banana (Musa sp.),mãʃe:ɾɵ,maseer,mãʃe:ɾɵ,ʃelʔ,ʃêl’,sêèl’,--,,--,
Banana 2,banana (Musa sp.),--,,--,--,,,pɯhɯ̌:t,pɨhɨ́t,wɯhɯ̌:t,wɨhɨt
Banana 3,banana (Musa sp.),pãnã:ɾ; pãnã:l,panaar,pãnã:ɾ,nã̌:lʔ,nã̂l’,nãàl’,--,,pãnãh,
Caju,cashew (Anacardium sp.),--,,--,--,waʃap,wasap,ɲãhãm,yahám,jãhã:m,yãham
Cucura 1,Amazonian tree-grape,--,,,huh,huh,rur,mbuhuh,dʼak,--,
(Pourouma cecropiaefolia),,,,--,,,,,,,
Cucura 2,Amazonian tree-grape (Pourouma cecropiaefolia),taɾapo:ʔ,tarapoo,ʃaɾapu:ʔ,--,,,--,,--,
Inga 1,inga (Inga sp.),kãmɛ̃ʔpiʔ,kamepi,k ʼ upiʔ,--,,,--,,--,
Inga 2,inga (Inga sp.),--,,--,mĩ̂:n,mîn,miìn,mĩ̌:n,mìn,mĩ̂:n,mín
Ira-pixuna,Ira-pixuna,--,,--,nô:g,nôg,noòg,ndôgŋ,dö̀g,--,
(Coccoloba pixuna),(tree) (Erisma japura),,,,,,,,,,
Açai,açaí palm (Euterpe sp.),mãnãg,,mãnãg,nã̌:k,nã̌k,nãák,--,,--,
Bacaba 1,bacaba palm (Oenocarpus sp.),wʌgŋ,wäng,wʌkŋ,waxwǒ:h,wax wǒr,wax wôór,wohsiwib,,wawǒ:h,
Caraná,caraná palm (Mauritia sp.),kapo:ɟɲ,,tapo:ɟɲ,pɔ̂:j,pɔ̂j,poòy,--,,--,
Pupunha 1,peach palm (Bactris gasipaes),--,,--,c ʼ ɯ̂:w,cɨ̂w,çʉʉ̀w,c ʼ ɯ̌:w,,c ʼ ɯ̰̂:w,sɨɨ́w
Cara 1,dioscorea (tuber) (Dioscorea sp.),mãnãʔɯ:dn,manayyn,ʔɯ:dn,ʔĩ̌:n,ʔîn,iín,--,,--,
Cara 2,dioscorea (tuber) (Dioscorea sp.),--,,--,--,,,c ʼ ã̰h,,c ʼ ã̰h,sãah
Cogumelo (sp.),mushroom,pɤbm,bʼaa pëm,pɤbm,pɤb; pɤbmʔ,pəm’,pâm’,pɤbʔ,pàç,pɤbʔ,
Mandioca,manioc (Manihot utilissima),--,,--,jǎ:k,jǎk,yaák,kajak,kayak,jâ:k,
Pimenta 1,chili pepper (Capsicum sp.),--,,--,xɔw,xɔw,xow,kɔw,ków,kɔw,kow
Pimenta 2,chili pepper (Capsicum sp.),po̰:h,pʼooh,pɔ̰:h,--,,,--,,--,
Borracha,rubber,tʌg,bʼaa täg,tʌg,tǎ:k,tǎk,taák,tǎ:k,tàk,tǎ:k,ták
Cinzas 1,ash,--,,--,--,xuʔ,xu’,tuh,,tuh,túh
Cinzas 2,ash,ʔo:j,ooj,ʔɔ:j,--,,,--,,--,
Designativo de arvores,tree (bound form),tɤ:g,tÿÿg,tɤ:g,tɤ̂:gŋ,təg (bound form),tâg,tê:gŋ,tëg,tê:g,tëg
Lenha,wood,--,,--,duh,bæduh,beedur,ɗṵh,,ɗṵh,duúh
Toco,stump,--,,--,nɯd,nɨd,nʉd,dɯdn,dö́,--,
Veneno 1,curare poison (Strychnos sp.),--,,--,nã̂:m; nã̌:m,nã̌m,nãám,nã̌:m,,nã̌:m,
Veneno 2 (sp.),curare poison,pɯ̰:bm,pʼyym,pɯ:bm,--,wɨm [strong],wʉm [strong],pɯ̌:bm,nàm,pɯ̌:bm,
1pl Nos,1pl,ʔɤ:ɾə,ëër,--,ʔid,ʔid,id,ʔɯ̃n,ɨ́n,ʔɯ̃̌:n,ɨ̃n
Agua,water,naʔɤgŋ,naëng,naʔɤgŋ,nɤ̌:x,nə̌x,nâáx,ndě:h,dë̀h,ndê:h,dë́h
anta (tapirus terrestris),tapir,tʌ̰:gŋ,tʼëëng,tʌ̰:kŋ,tǎ :x,tǎx,taáx,tǎ :h,tàh,tǎ :h,tàh;táh
Asa,wing,takɤg,këg,takɤg,xê:,xê,xêè,kê:,kë́,tɤkeh,kë
Bacaba 2,bacaba palm,ʃawɯ:bm,sawyym,ʃɯwɯ:bm,wî:bm,wîm,wiìm,ciwǐ:bm,wós,wî:bm,wím
Buriti,buriti palm,c ʼ ʌ̰:g,tsʼëëg,c ʼ ʌ̰:g,c ʼ ǎ:k,cǎk,çaák,c ʼ ǎ̰:k,sʼàk,c ʼ â̰:k,saák
Buscar,look for,hɯ:dn,ehÿÿn,hɯ:dn,--,,,--,NF,--,
Caminho,path,tɯ:w,tyyw,tɯ:w,tɯ̂:w,tɨ̂w,tʉʉ̀w,tǐ:w,tiyìʼ,tî:w,tíw
Carapana,mosquito,--,gyyj,k ʼ ɯ:j,--,ʃɔ̃̂,sõò,k ʼ î:,kʼí,k ʼ ijǐ:h,kii
Carvão,charcoal,ʃɤh,sëh,ʃɤh,ʃɤ̌:x,ʃə̌x,sâáx,cɤ̌:h,tëg-sä̀h,--,
Ceu 2,sky,wɤʔ,wë,wɤ:ʔ,wɤ̌:ʔ,?,?,--,,--,
Cobra (sp.),snake sp.,ʔawɯ̰:ʔ,awʼyy,ʔawɯ̰:h,--,,,--,,--,
Comprido 1,long,dawɯ:t; dawɯd,dawÿÿt,nɯwɯ:t,w̰ʔɤt,w’ət,‘wât,w̰ʔɤt,wʼä́t,w̰ʔɤt,wäät
Cortar 3,cut (through/off),k ʼ akɯ:t; ,gakyyt,k ʼ akɯd,xɯ̌: t,xɨ̌t [cut through/off],xʉʉ́t [cut through/off],kɯt,kɨt,--,
Crescer 2; subir,grow; climb,ʃɤ̰:g,asëëk,ʃɤ̰:g,ʃâ:k,ʃǎk,saák,cak,sak,--,sak
Deitar 1,be suspended (in hammock; canoe),k ʼ ʌʔ; k ʼ ɤ:ʔ,agä,--,k ʼ aʔ,kaʔ [na rede; canoa; pindurar],ka’ [na rede; canoa; pindurar],k ʼ ã̰ʔ,kʼãʼ,k ʼ ã̰ʔ,kãʼ
Dente,tooth,tɤg,tëg,tɤg,tɤg,təg,tâg,tɤgŋ,tä́g,tɤgŋ,täg
Em forma de fio (cipo),vine; cord,tɯd,tyd,tɯd,tit,tit,tit,tit,tɨ́t,tɯt,tɨt
Esconder,hide,jɤdn,kejën,jɤdn,jê:dn,jên,yêèn,jɤ̂:dn,yä́d,jɤdn,yän
Estar em pe,stand,gɤ̰:d,agÿÿt,gɤ̰:d,kɤ̌t,kə̌t,kâát,cakʔet,kʼët,kʔedʔ,
Floresta,forest,hʌ:j,hëëj,hʌ:j,xâ:j,xâj,xaày,hǎ:j,hày,hâ:j,háy
Fogo,fire,tɤ:g,tÿÿg,tɤ:g,tɤ̌:ʔ,bohɔ̃̂; bɔ̃hɔ̃̂ [lenha: biduh; bæduh],bôrõò; bõrõò [lenha: bidur; beèdur],tě:gŋ,të̀g,tê:gŋ,të́g
Formiga-de-fogo,fire ant,ʔɯ:h,yyh,ʔɯ:h,ʔɯ̂:,ʔɨ̂,ʉʉ̀,ʔɯ̃̌:h,ɨ̃̀h,--,
Gordura 2,fat; grease,ʃɯ:j,syyj,ʃɯ:j,--,,,--,,--,
Homem 1,man,ʔajɯ̰:ʔ; ʔajɯ:ʔ,ajʼyy,ʔajɯ̰:h,--,,,tijǐ:ʔ,tiyìʼ,jî:ʔ,yí’
Jacare (sp.),caiman (sp.),wɤ:ʔ,wëë,wɤ:ʔ,--,,,--,,--,
Japura,japurá (tree),jawʌk,jawëk,wakŋ,wak,wak,wak,jawak,yawák,wǎ:k,wak
Longe 2,far,dawɤ̝:ʔ,dawÿÿ,nãwɯ:h,--,,,--,wʼë́h,--,
Macaco-caiarara,white-fronted capuchin monkey,hɤ̝:w,hÿÿw,hɤ:w,--,,,hɛ̂:w,héw,--,
Morcego 2,bat,wɤbm,wëm,wɤbm,--,,,--,,wɤ̌:bm,
Morder,bite,k ʼ ɤʃ; k ʼ ɤ:j,egës,k ʼ ɤʃ; k ʼ ɤ:j,k ʼ ɤʃ,kəʃ,kâs,k ʼ ɤç,kʼäç,k ʼ ɤjʰ,kääç
Noite,night,c ʼ ɤbm,atsëm,c ʼ ɤbm,c ʼ ebm,cem,çêm,c ʼ ɤ̰bm,sʼä́b,c ʼ ɤ̰bm,sääm
Nome,name,hʌd; hʌt,häd,hʌ̰:d,xǎ:t,xǎt,xaát,hǎ:t,hàt,hǎ:t,hát
Olho,eye,mãtɯbm,matym,mãtɯbm,tɯbm,tɨm,tʉm,--,tɨ̀b,--,
Ouvir 1,hear,wɤ:ʔ; wɤʔ,ma newÿÿ,wɤʔ,wɤʔ,wə̌’,wâá’,wɤʔ,wä́ʼ,--,
Ouvir 2; saber,hear; understand,pʌh; pɤ:h,hapäh,pa:h,pǎ:h,pǎh,paár,pãh,NF,pãh,pãh
Pai 1,father,ʔɯb,yb,ʔɯb,ʔǐ:p,ʔǐp,iíp,ʔǐ:p,,ʔǐ:p,íp
Passaro (generico),bird,tawɤ̰:d,tawʼëëd,tɤwɤ̰:d,tɤwɤ̌t,təwə́t,tâwâát,wě:t,wèy,wê:t,wë́t
Pataua,seje palm,wʌgŋ,wäng,wʌkŋ,wax,wax,wax,wuh,wáh,wǎ:h,wah
Pe,foot,c ʼ ɯ:bm,tsyym,c ʼ ɯ:bm,c ʼ ɯ̂:bm,cɨ̂m,çʉʉ̀m,c ʼ ḭ̌:bm,sʼìb,c ʼ î:bm,siím
Pesado,heavy,jawɯk,jawyk,jɯwɯkŋ,--,təw’,tâw’,jiwik,yiwík,wik,wik
Preto,black,c ʼ ɤgŋ,tsäng?,c ʼ ɤ:h,cʼ â:,câ,çaà,cʼ â̰:,sʼá,cʼ â̰:h,saa
Pupunha 2,peach palm,jɤ:ʔ,jÿÿ,jɯ:h,--,,,--,,--,
Rapaz,adolescent boy,pahɤ:w,pahëëw,pʌhʌ:w,pɛdxâ:w,pæɟxǎw,pejxaáw,pɛʃâ:w,pẽy,pɛdhǎ:w,
Roçar 1,clear brush/trees,k ʼ ɤ:bm; k ʼ ɤ:w,gëëw,k ʼ ɤ:w,k ʼ â:w,xǎp (cortar plantas pequenas primeiro); kâw (derrober arvores),xaáp (cortar plantas pequenas primeiro); kaàw (derrober arvores),--,,--,
Sangue,blood,mãjɯ:w; mãjɯ:bm,majyyw,mɯ̃jɯ:w,jɯ̂:w,jɨ̂w,yʉʉ̀w,mbĩjî:w,biyìw,dîw,
Sujo,dirty,tɤ:w,tÿÿw,--,tɤ̌:w̰ʔ,tə̌w’ [sujeiro]; dɨj [person; color shade]; cik [things],tâáw’ [sujeiro]; dʉy [person; color shade]; çik [things],c ʼ ǎ̰:w̰ʔ,sʼàw,c ʼ ǎ̰:w̰ʔ,saáw’
Ucuqui,ucuqui (tree),mʌ̃ʔ,mä,mʌ̃ʔ,mɯ̃̂:,mʉ̃̂,mʉ̃ʉ̀,mɯ̃̌:h,mɨ̀h,mɯ̃h,mɨ́h
Urucum,achiote; anatto,hɤ̰:w,hʼÿÿw,hɤ̰:w,hɤ̂:w,hə̂w,râàw,hɤ̌:w,hä̀w,hɤ̂:w,hä́w
Velha,old woman,wahɤh; wahɯ̰:h; wah,wahʼÿÿ,--,--,ʔãjhən; ʔãjwâ; ʔãjwǎh,ãyrân; ãywaà; ãywaár [dialectal differences?],wâ:,wá,tɤwɤhɤ̌:h,wähä́h
Vomitar,vomit,hɤ:dn,ehëën,hɤ:dn,xâ:dn,xân,xaàn,hɔ̃̌:n,höhö̀ʼ,hɔ̃n,hõn
