gloss_pt,gloss_en,mbj_rc_m05,mbj_rc_eppsob,mbj_rn_m05,daw_m05,daw_eppsob,daw_eppsob_pht,hup_m05,hup_ramepps,hup_ramepps_pht,yhp_m05,yhp_silva,yhp_silva_pht
Gaviao-real,harpy eagle?; hawk (Harpia harpyja),wi:?,wa wii,wi:h,wi? h,wi?h,wi?h,wi?h po?g,wih pö?g,wih po?g?,wi?h,wi?h,wi?h
Jacu,Spix’s guan (Penelope jacquacu),j??:j,,j??:j,je??,je??,je??,je?c,,,je?c,,
Japu-do-bico-encarnado,japu (Psarocolius sp.) [Gymnostinops is outdated name] (Gymnostinops,du?b,,do?:b,do?:p,do?p,do?p,?o??:p,d?ö?p,nd?o?p,?o??:p,dööp,ndoop
Maitaca,blue-headed parrot (Pionus menstruus),du:?,,du:?,du?:ic,du?c,du?c,?u??:ic,d?u?s,nd?u?s,?u??:??,,
Nambu-galinha,white-throated tinamou (Tinamus guttatus),ho?:h,,ho?:h,ho?:h,m??-ho?h,m??ho?h,m??-ho?:h,moh-hö?h,m?hho?h,--,,
Nambu-grande,great tinamou (Tinamus major),--,,--,m???:,m???,m???,m???:h,mo?h,m??h,m???:h,mo?h,m??h
Papagaio-moleira,mealy parrot (Amazona farinosa),c??j,,c??j,c??j,c?j,c?j,c???j?,,,c???j?,sooy’,s??y’
Pomba-galega,dove (Columba cayennensis),waw??h??h,,--,w??h,wæ?h,w??h,w??ç,,,w??h,we?h,w??h
Rouxinol,moriche oriole (Icterus chrysocephalus),--,,c?u: b,c?u?: b,?i?p,?i?p,--,,,--,,
Tucano,toucan (Ramphastos sp.),?oked; ?aked; ?uked,suked,?aked,c?o-k?wet,co-kwet,cokwet,co-kw??t,so-kw?ä?t,s?kw???t,c?h-k?t,so-kät,s?k?t
Urubu,vulture (Coragyps atratus),w?:h,,w?:h,wa?,wa?,wa?,wa??,wa???,wa???,wa??,,
Urumutum,nocturnal currasow (Nothocrax urumutum),--,,--,tu?:dn,tu?n,tu?dn,m??j-tu?:dn,moy-tu?d,m?ytu?dn,m??j-tu?:dn,moy-tun,m?ytudn
Ninho,nest,ma?:g,,ma?:g,--,me?,mbe?,--,,,--,,
Ovo,egg,?e-t?:p; t?b,tyb,t?b,t??:b,t??p,t??p,ti?:p,tip,tip,ti?:p,ti?p,ti?p
Amarelo,yellow,?aw??:k,,?awa?:k?,--,,,--,,,--,,
Azul; verde,blue; green,jaba?u?: t ,jabaruut,ma?u: t ,--,,,--,,,--,,
Branco 1,white,hawak ,hawak,hawak?,--,,,--,,,--,,
Branco 2,white,--,,--,ho?:,ho?,ho?,to-hoh,tö-hö?,toho?,to-hoh,,
Vermelho 1,red,--,,--,no?:,no?,ndo?,ndo?:,,,--,,
Vermelho 2,red,hi:dn,ha-hiin,hi:??,--,,,--,,,he?:??,,
Camara?o,shrimp,??:?,sëë,??:?,?o?,?o?,?o?,c??,sä?,s??,c?-c??,sä-sä’,s?s?’
Caranguejo,crab (gen. Trichodactylus),c?a-h?:bm,,c??-h?:bm,xa?:bm,xa?m,xa?bm,--,,,--,,
Caranguejo,crab (gen. Trichodactylus)­­,--,,--,--,,,??h??:,soho?,s?h??,c?h??:h,,
Caranguejo,crab (gen. Trichodactylus),--,,--,--,,,c??ho??:m,,,c??ho??:m,,
Diarreia,diarrhea,--,,--,--,jo?h,jo?h,cu??,NF,NF,cu??,NF,NF
Ferida 1,wound (causada por corte),--,,--,n?:h,n?h,nd?h,--,NF,NF,nd??:h,dooh,nd??h
Ferida 2,wound,--,,--,x??m,x?m,x?bm,h??m,ho?m,h??m,h??m,NF,NF
Lombriga,nematode (roundworm) (Ascaris lumbricoides),??:d,,??:d,??:t,???t,???t,--,NF,NF,--,NF,NF
Remedio,medicine,--,,--,j????:h,j???h,j???h,j????:h,yo??h,y???h,????:h,yo?h,y??h
Sarampo,measles,--,,--,--,,,pab,pa?b’,pa?b’,pa?:b,pam?,pam?
Abaixar,lower,h?g?; h?:h,hyng; hyyh,h?g?,x??:,x??,x??,hi?:,hi?,hi?,hi,hi,hi
Abanar,lower,h?bm,,--,hebm?,hem’,hem’,hebm?,hë?b?,he?b?,h?bm?,hëm?,hem?
Abrir 1,open,--,,--,po?,po?,po?,po?,pö??,po??,po?,pö’,po’
Abrir 2,open,je:??; je?:j,,--,j??,ji?c,ji?c,--,,,--,,
Acabar 1,finish,?ah?j; ?ah?:j,,?ah?j,--,,,--,,,--,NF,NF
Acabar 2,finish,--,,--,hu??,hu??,hu??,hu??,hu?????,hu?????,hu??,hu?’,hu?’
Acabar 3,finish,ja?:m,,ja?:m,j???:m,jæ??m,j???m,--,NF,NF,--,NF,NF
Acender 1,light (fire),--,a-tëë,--,t??,t??,t??,t??,tä?,t??,t??,tä’,t?’
Acender 2,light (fire),tag?; ta:h,,ta:h,--,,,--,tä??,t???,--,ta:?,ta:?
Agitar 1,mix; stir,--,,--,--,w??n’,w??n’,w???n?,NF,NF,w???n?,NF,NF
Agitar 2,mix; stir,--,,ka-w???j?,--,,,--,NF,NF,mi?h-w???j?,mih-wo?ç,mihw??ç
Ajudar 1,help,--,,--,--,,,ta??:m,hi ta?m,hi ta?m,ta?m,,
Ajudar 2,help,?ma??a?; ?ma?a:?,,?me??a:h,--,,,--,NC ,NC ,--,NC,NC
Alagar; inundar,drown,   k???:p; k???:b,,k???:b,k????:m,k??m,k??bm,k????:m,k’??m,k’??m,--,NF,NF
Alisar,smooth,haw?:k,,haw?g,--,,,h?k,NC,NC,--,NC,NC
Amar; souvinar,love; be stingy,--,,--,w?j,w?j,w?j,w?j,woy,w?y,w?j,woy,w?y
Amarrar,tie,da?:p; da:b,,--,da?:b,da?b,da?b,--,,,tabm,tam,tabm
Amontoar,rest/be put on (something),--,,--,w?o?:b,wo?b,wo?b,wu?wo?:bm,NF,NF,w?obm,wööm,woobm
Apagar,go out,du:k; dug,,du:g,d??:k,d??k,d??k,????:k,d?o?k,nd???k,???k,dook,nd??k
Aparecer,appear,--,,--,hadn,han,hadn,ba-hadn,,,--,wa-han,wahadn
Apodrecer,rot,?a???:?; ?a?a:?,,?a?a:j; ?a?a:?,--,,,--,,,--,,
Apodrecer2,rot,,,,--,d?x,d?x,--,d?o?h,nd???h,--,dooh,nd??h
Aquecer,warm up,--,,--,k????,,,k?????,NF,NF,k????,k??,k??
Arrancar 1,pull out,?a-k? o?:?; ?a-k? o:?,,k? o:?,--,,,k? ???:?,ko?,k??,k? ???,koo?,k???
Arrancar 2,pull out,--,,--,w?c,w?c,w?c,w?c,NF,NF,--,NF,NF
