gloss_pt,gloss_en,mbj_rc_m05,mbj_rc_eppsob,mbj_rn_m05,daw_m05,daw_eppsob,daw_eppsob_pht,hup_m05,hup_ramepps,hup_ramepps_pht,yhp_m05,yhp_silva,yhp_silva_pht
Algodao 2 (sp.),cotton (kapok),?a-w?k,sa-wyk,??-w?k?,wuk,wuk,wuk,cu-wu?:k,,,wu?:k,wu?k,wu?k
Cipo? (generico),cipo? vine,ju:bm,juum,--,jubm,jum,jubm,jubm,yu?b,yu?bm,ju?:bm,yum,yubm
Cipo?-de-imbe,cipo? sp. (Philodendron imbe?),--,,--,?w?k,w’??k,w’??k,we?:k,,,we?:k,wë?k,we?k
Cipo? (sp.),cipo? sp.,?a?o:p,saroop,?o?o:p,--,,,--,wero?,w????,--,,
Coca,coca (Erythroxylum coca),ba-to?,ba-to,--,tu?,tu?,tu?,--,,,--,,
Embauba 1,embauba (tree) (Cecropia sp.),c?akod,,c?akod,--,,,--,,,--,,
Embauba 2,embauba (tree) (Cecropia sp.),bo:h,,--,bo?:,bo?,bo?,???:?h,b?ö?h,mb?o?h,???:?h,,
Embira 1,embira (tree w/ cloth-like bark) (familia das anonaceas),???:b,s?yyb,???:b,???:p,???p,???p,--,,,???:p,s??p,s??p
Embira 2,embira (tree w/ cloth-like bark) (familia das anonaceas),--,,--,--,,,c??:,se?,s??,c??:h,see,s??
Escorrega-macaco,purpleheart (tree) (Peltogyne paniculata),p?:w,,p?:w,b??:w,b??w,b??w,????:w,,,????:w,b’ä?w,mb’??w
Sorva,cow tree (Couma sp.),wa-b?:h,,--,b??:h,b??h,b??h,???:h,,,???:h,,
Tabaco,tobacco (Nicotiana tabacum),hu?:t,hu?u?t,hu?:t,hu??:t,hu??t,hu??t,hu??:t,hu??t,hu??t,hu??:t,hu?t,hu?t
Timbo (generico),fish poison plant/vine (plantas ictiotoxicas),du?:j,d?uuj,du?:j,du?:?,du??,du??,?u?:ç,d?u?ç,nd?u?ç,?u??:j?,,
Tururi,tururi (tree with useful fibers) (Sterculia sp.),--,,--,bob,bob,bob,b?obm,,,--,,
Casca,bark,b?g,ta-bo?g,b?g,b?k,b?k,b?k,???k,,,???k,book,mb??k
Cerne 1,tree trunk?,c???:d,,c???:d,c?a?:t,ca?t,ca?t,--,,,--,,
Cerne 2,tree trunk?,--,,--,--,,,s????:w,,,c?c??:w,säsä?w,s?s??w
Espinho,spine; thorn,--,,--,?ut,?u?t,?u?t,?ut,u?t,u?t,?ud,,
Flor,flower,c?o?:h,ts?ooh,c?o?:h,c?o??:,c??,c??,c?o??:,,,c?o??:h,,
Folha,leaf,k?a?:d,g?aad,k?a?:d,k????:t,kæ?t,k??t,k????:t,k?e?t,k???t,k????:t,keet,k??t
Raiz 1,root,--,,--,ti?:?,ti??,ti??,ti?:h,ti?h,ti?h,ti?:j?,,
Raiz 2,root,k?bm,ko?m,k?bm,x?bm,x?m,x?bm,--,,,--,,
Semente 1,seed,t?bm,ta-tym,t?bm,t?bm,t?m,t?bm,--,,,--,,
Semente 2,seed,--,,--,--,,,w?g?,,,w??:g,wäg,w?g
Fruta (generico),fruit,?ag,ag,?ag,??g,?æg,??g,?ag?,a?g,a?g?,?ag?,,
abacaxi,pineapple (Ananas sativus),--,,--,j??:j,,,j??:j,yo?y,y??y,j??:j,yo?y,y??y
Abacaxi,pineapple (Ananas comosus),ma?-wa?:d,ma-wa?a?d,ma?-wa?:d,wa??:n,wa??n,wa??n,--,,,--,,
Banana 1,banana (Musa sp.),ma??e:??,maseer,ma??e:??,?el?,?e?l’,?e?l’,--,,,--,,
Banana 2,banana (Musa sp.),--,,--,--,,,p?h??:t,p?h??t,p?h??t,w?h??:t,w?h?t,w?h?t
Banana 3,banana (Musa sp.),pa?-na?:?; pa?-na?:l,pa-naar,pa?-na?:?,na??:l?,na??l’,na??l’,--,,,pa?-na?h,,
Caju,cashew (Anacardium sp.),--,,--,--,,,?a?ha?m,yaha?m,yaha?m,ja?ha?:m,ya?ham,ya?ham
Cucura 1,Amazonian tree-grape,--,,,huh,huh,huh,mbu-huh,bu-húh,mbuhúh,--,,
(Pourouma cecropiaefolia),,,,--,,,,,,,,,
Cucura 2,Amazonian tree-grape (Pourouma cecropiaefolia),ta-?apo:?,ta-rapoo,?a-?apu:?,--,,,--,,,--,,
Inga 1,inga (Inga sp.),ka?m???pi?,kamepi,k?upi?,--,,,--,,,--,,
Inga 2,inga (Inga sp.),--,,--,mi??:n,mi?n,mbi?dn,mi??:n,mi?n,mi?n,mi??:n,mi?n,mi?dn
Ira-pixuna,Ira-pixuna,--,,--,no?:g,no?g,ndo?g,ndo?g?,dö?g,ndo?g?,--,,
(Coccoloba pixuna),(tree) (Erisma japura),,,,,,,,,,,,
Açai,açai? palm (Euterpe sp.),ma?na?g,,ma?na?g,na??:k,na??k,na??k,--,,,--,,
Bacaba 1,bacaba palm (Oenocarpus sp.),w?g?,wäng,w?k?,wax wo?:h,wax wo?r,wax wo??,,,,wa wo?:h,,
Carana?,carana? palm (Mauritia sp.),ka-po:??,,ta-po:??,p??:j,p??j,p??j,--,,,--,,
Pupunha 1,peach palm (Bactris gasipaes),--,,--,c???:w,c??w,c??w,c???:w,,,c????:w,s???w,s???w
Cara 1,dioscorea (tuber) (Dioscorea sp.),ma?na?-??:dn,mana-yyn,??:dn,?i??:n,?i?n,?i?dn,--,,,--,,
Cara 2,dioscorea (tuber) (Dioscorea sp.),--,,--,--,,,c?a??h,,,c?a??h,sa?ah,sa?ah
Cogumelo (sp.),mushroom,p?bm,b?aa-pëm,p?bm,p?b; p?bm?,p?m’,p?m’,p?b?,pa?ç,pa?ç,p?b?,,
Mandioca,manioc (Manihot utilissima),--,,--,ja?:k,ja?k,ja?k,ka-jak,ka-yak,kayak,ja?:k,,
Pimenta 1,chili pepper (Capsicum sp.),--,,--,x?w,x?w,x?w,k?w,ko?w,k??w,k?w,kow,k?w
Pimenta 2,chili pepper (Capsicum sp.),po?:h,p?ooh,p??:h,--,,,--,,,--,,
Borracha,rubber,t?g,b?aa-täg,t?g,ta?:k,ta?k,ta?k,ta?:k,ta?k,ta?k,ta?:k,ta?k,ta?k
Cinzas 1,ash,--,,--,--,,,tuh,,,tuh,tu?h,tu?h
Cinzas 2,ash,?o:j,ooj,??:j,--,,,--,,,--,,
Designativo de arvores,tree (bound form),t?:g,tÿÿg,t?:g,t??:g?,t?g,t?g,te?:g?,tëg,teg?,te?:g,tëg,teg
Lenha,wood,--,,--,duh,bæ-duh,b?duh,?u?h,,,?u?h,duu?h,nduu?h
Toco,stump,--,,--,n?d,n?d,nd?d,d?dn,dö?,ndo?,--,,
Veneno 1,curare poison (Strychnos sp.),--,,--,na??:m; na??:m,na??m,na??m,na??:m,,,na??:m,,
Veneno 2 (sp.),curare poison,p??:bm,p?yym,p?:bm,--,w?m,w?bm,p??:bm,na?m,na?m,p??:bm,,
1pl Nos,1pl,??:??,ëër,--,?id,?id,?id,???n,??n,??n,????:n,??n,??n
Agua,water,na??g?,naëng,na??g?,n??:x,n??x,nd??x,nde?:h,dë?h,nde?h,nde?:h,dë?h,nde?h
anta (tapirus terrestris),tapir,t??:g?,t?ëëng,t??:k?,ta? :x,ta?x,ta?x,ta? :h,ta?h,ta?h,ta? :h,ta?h;ta?h,ta?hta?h
Asa,wing,tak?g,këg,ta-k?g,xe?:,xe?,xe?,ke?:,kë?,ke?,t?-keh,kë,ke
Bacaba 2,bacaba palm,?a-w?:bm,sa-wyym,??-w?:bm,wi?:bm,wi?m,wi?bm,ci-wi?:bm,wo?s,w??s,wi?:bm,wi?m,wi?bm
Buriti,buriti palm,c???:g,ts?ëëg,c???:g,c?a?:k,ca?k,ca?k,c?a??:k,s?a?k,s?a?k,c?a??:k,saa?k,saa?k
Buscar,look for,h?:dn,e-hÿÿn,h?:dn,--,,,--,NF,NF,--,,
Caminho,path,t?:w,tyyw,t?:w,t??:w,t??w,t??w,ti?:w,tìw,tìw,ti?:w,ti?w,ti?w
Carapana,mosquito,--,gyyj,k??:j,--,,,k?i?:,k?i?,k?i?,k?iji?:h,kii,kii
Carva?o,charcoal,??h,sëh,??h,???:x,???x,???x,c??:h,tëg-sä?h,tegs??h,--,,
Ceu 2,sky,w??,wë,w?:?,w??:?,?,?,--,,,--,,
Cobra (sp.),snake sp.,?aw??:?,aw?yy,?aw??:h,--,,,--,,,--,,
Comprido 1,long,da-w?:t; da-w?d,da-wÿÿt,n?w?:t,w???t,w’?t,w’?t,w???t,w?ä?t,w???t,w???t,wäät,w??t
Cortar 3,cut (through/off),k?ak?:t; ,gakyyt,k?ak?d,x??: t,x??t,x??t,k?t,k?t,k?t,--,,
Crescer 2; subir,grow; climb,???:g,a-sëëk,???:g,?a?:k,?a?k,?a?k,cak,sak,sak,--,sak,sak
Deitar 1,be suspended (in hammock; canoe),k???; k??:?,a-gä,--,k?a?,ka?,ka?,k?a???,k?a??,k?a??,k?a???,ka??,ka??
Dente,tooth,t?g,tëg,t?g,t?g,t?g,t?g,t?g?,tä?g,t??g?,t?g?,täg,t?g
Em forma de fio (cipo),vine; cord,t?d,tyd,t?d,tit,tit,tit,tit,t??t,t??t,t?t,t?t,t?t
Esconder,hide,j?dn,ke-jën,j?dn,je?:dn,je?n,je?dn,j??:dn,yä?d,y??dn,j?dn,yän,y?dn
Estar em pe,stand,g??:d,a-gÿÿt,g??:d,k??t,k??t,k??t,ca-k?et,k?ët,k?et,k?ed?,,
Floresta,forest,h?:j,hëëj,h?:j,xa?:j,xa?j,xa?j,ha?:j,ha?y,ha?y,ha?:j,ha?y,ha?y
Fogo,fire,t?:g,tÿÿg,t?:g,t??:?,,,te?:g?,të?g,te?g?,te?:g?,të?g,te?g
Formiga-de-fogo,fire ant,??:h,yyh,??:h,???:,???,???,????:h,???h,???h,--,,
Gordura 2,fat; grease,??:j,syyj,??:j,--,,,--,,,--,,
Homem 1,man,?a-j??:?; ?a-j?:?,a-j?yy,?a-j??:h,--,,,ti-ji?:?,ti-yi??,tiyi??,ji?:?,yi?’,yi?’
Jacare (sp.),caiman (sp.),w?:?,wëë,w?:?,--,,,--,,,--,,
Japura,japura? (tree),ja-w?k,ja-wëk; jawäk,wak?,wak,wak,wak,jawak,yawa?k,yawa?k,wa?:k,wak,wak
Longe 2,far,da-w??:?,da-wÿÿ,na?-w?:h,--,,,--,w?ë?h,w?e?h,--,,
Macaco-caiarara,white-fronted capuchin monkey,h??:w,hÿÿw,h?:w,--,,,h??:w,he?w,h??w,--,,
Morcego 2,bat,w?bm,wëm,w?bm,--,,,--,,,w??:bm,,
Morder,bite,k???; k??:j,e-gës,k???; k??:j,k???,k??,k??,k??ç,k?äç,k??ç,k??j?,kääç,k??ç
Noite,night,c??bm,atsëm,c??bm,c?ebm,cem,cebm,c???bm,s?ä?b,s???bm,c???bm,sääm,s??bm
Nome,name,h?d; h?t,häd,h??:d,xa?:t,xa?t,xa?t,ha?:t,ha?t,ha?t,ha?:t,ha?t,ha?t
Olho,eye,ma?-t?bm,ma-tym,ma?t?bm,t?bm,t?m,t?bm,--,t??b,t??bm,--,,
Ouvir 1,hear,w?:?; w??,ma ne-wÿÿ,w??,w??,w??’,w??’,w??,wä??,w???,--,,
Ouvir 2; saber,hear; understand,p?h; p?:h,ha-päh,pa:h,pa?:h,pa?h,pa?h,pa?h,NF,NF,pa?h,pa?h,pa?h
Pai 1,father,??b,yb,??b,?i?:p,?i?p,?i?p,?i?:p,,,?i?:p,i?p,i?p
Passaro (generico),bird,ta-w??:d,ta-w?ëëd,t?-w??:d,t?-w??t,t?-w??t,t?w??t,we?:t,we?y,w??y,we?:t,wë?t,we?t
Pataua,seje palm,w?g?,wäng,w?k?,wax,wax,wax,wuh,wa?h,wa?h,wa?:h,wah,wah
Pe,foot,c??:bm,tsyym,c??:bm,c???:bm,c??m,c??bm,c?i??:bm,s?i?b,s?i?bm,c?i?:bm,sii?m,sii?bm
Pesado,heavy,jaw?k,ja-wyk,j?-w?k?,--,,,ji-wik,yi-wi?k,yiwi?k,wik,wik,wik
Preto,black,c??g?,tsäng,c??:h,c? a?:,ca?,ca?,c? a??:,s?a?,s?a?,c? a??:h,saa,saa
Pupunha 2,peach palm,j?:?,jÿÿ,j?:h,--,,,--,,,--,,
Rapaz,adolescent boy,pah?:w,pahëëw,p?h?:w,p?dxa?:w,pæ?xa?w,p??xa?w,p??a?:w,pe?y,p??y,p?dha?:w,,
Roçar 1,clear brush/trees,k??:bm; k??:w,gëëw,k??:w,k?a?:w,ka?w,ka?w,--,,,--,,
Sangue,blood,ma?-j?:w; ma?-j?:bm,ma-jyyw,m??-j?:w,j??:w,j??w,j??w,mbi?-ji?:w,bi-yi?w,mbiyi?w,di?w,yíw,yíw
Sujo,dirty,t?:w,tÿÿw,--,t??:w??,t??w’,t??w’,c?a??:w??,s?a?w,s?a?w,c?a??:w??,saa?w’,saa?w’
Ucuqui,ucuqui (tree),m???,mä,m???,m???:,m???,m???,m???:h,m??h,m??h,m??h,m??h,m??h
Urucum,achiote; anatto,h??:w,h?ÿÿw,h??:w,h??:w,h??w,h??w,h??:w,hä?w,h??w,h??:w,hä?w,h??w
Velha,old woman,wah?h; wah??:h; wah,wah?ÿÿ,--,--,?a?jh?n; ?a?jwa?; ?a?jwa?h,?a?jh?n ?a?jwa? ?a?jwa?h,wa?:,wa?,wa?,t?w?h??:h,wähä?h,w?h??h
Vomitar,vomit,h?:dn,e-hëën,h?:dn,xa?:dn,xa?n,xa?dn,h???:n,hón,hón,h??n,ho?n,h??n
